,Food,Measure,Grams,Calories,Protein,Sat.Fat,Fiber,Carbs,Category
116,Dandelion greens,1 cup,180,80.0,180,0.0,32.0,16.0,Vegetables A-E
117,Eggplant,1 cup,180,30.0,180,0.0,10.0,9.0,Vegetables A-E
118,Endive,2 oz.,57,10.0,57,0.0,6.0,2.0,Vegetables A-E
119,Kale,1 cup,110,45.0,110,0.0,9.0,8.0,Vegetables F-P
120,Kohlrabi,1 cup,140,40.0,140,0.0,15.0,9.0,Vegetables F-P
121,"Lambs quarters, steamed",1 cup,150,48.0,150,0.0,32.0,7.0,Vegetables F-P
122,Lentils,1 cup,200,212.0,200,0.0,24.0,38.0,Vegetables F-P
123,Lettuce,1/4 head,100,14.0,100,0.0,5.0,2.0,Vegetables F-P
124,Iceberg,1/4 head,100,13.0,100,0.0,5.0,3.0,Vegetables F-P
126,Mustard greens,1,140,30.0,140,0.0,12.0,6.0,Vegetables F-P
127,Okra,1 1/3 cups,100,32.0,100,0.0,1.0,7.0,Vegetables F-P
128,Onions,1,210,80.0,210,0.0,16.0,18.0,Vegetables F-P
129,"Raw, green",6 small,50,22.0,50,0.0,1.0,5.0,Vegetables F-P
131,Parsnips,1 cup,155,95.0,155,0.0,3.0,22.0,Vegetables F-P
132,Peas,1 cup,100,66.0,100,0.0,1.0,13.0,Vegetables F-P
133,"Fresh, steamed peas",1 cup,100,70.0,100,0.0,22.0,12.0,Vegetables R-Z
135,Split cooked peas,4 cups,100,115.0,100,0.0,4.0,21.0,Vegetables R-Z
136,heated peas,1 cup,100,53.0,100,0.0,1.0,10.0,Vegetables R-Z
138,"Peppers Raw, green, sweet",1 large,100,25.0,100,0.0,14.0,6.0,Vegetables R-Z
139,Peppers with beef and crumbs,1 med.,150,255.0,150,8.0,1.0,24.0,Vegetables R-Z
140,"Potatoes, baked",1 med.,100,100.0,100,0.0,5.0,22.0,Vegetables R-Z
141,French-fried,10 pieces,60,155.0,60,3.0,4.0,20.0,Vegetables R-Z
142,Potatoes Mashed with milk and butter,1 cup,200,230.0,200,11.0,7.0,28.0,Vegetables R-Z
143,"Potatoes, pan-tried",3/4 cup,100,268.0,100,6.0,40.0,33.0,Vegetables R-Z
144,Scalloped with cheese potatoes,3/4 cup,100,145.0,100,7.0,40.0,14.0,Vegetables R-Z
145,Steamed potatoes before peeling,1 med.,100,80.0,100,0.0,40.0,19.0,Vegetables R-Z
147,Radishes,5 small,50,10.0,50,0.0,3.0,2.0,Vegetables R-Z
148,Rutabagas,4 cups,100,32.0,100,0.0,14.0,8.0,Vegetables R-Z
149,Soybeans,1 cup,200,260.0,200,0.0,32.0,20.0,Vegetables R-Z
150,Spinach,1 cup,100,26.0,100,0.0,1.0,3.0,Vegetables R-Z
151,Squash,1 cup,210,35.0,210,0.0,6.0,8.0,Vegetables R-Z
152,"Winter, mashed",1 cup,200,95.0,200,0.0,26.0,23.0,Vegetables R-Z
153,Sweet potatoes,1 med.,110,155.0,110,0.0,1.0,36.0,Vegetables R-Z
154,Candied,1 med.,175,235.0,175,5.0,15.0,80.0,Vegetables R-Z
155,Tomatoes,1 cup,240,50.0,240,0.0,1.0,9.0,Vegetables R-Z
156,"Raw, 2 by 2 1/2",1 med.,150,30.0,150,0.0,6.0,6.0,Vegetables R-Z
157,Tomato juice,1 cup,240,50.0,240,0.0,6.0,10.0,Vegetables R-Z
159,Turnip greens,1 cup,145,45.0,145,0.0,18.0,8.0,Vegetables R-Z
160,"Turnips, steamed",1 cup,155,40.0,155,0.0,18.0,9.0,Vegetables R-Z
161,"Watercress stems, raw",1 cup,50,9.0,50,0.0,3.0,1.0,Fruits A-F
162,Apple juice canned,1 cup,250,125.0,250,0.0,0.0,34.0,Fruits A-F
163,Apple vinegar,1/3 cup,100,14.0,100,0.0,0.0,3.0,Fruits A-F
164,"Apples, raw",1 med,130,70.0,130,0.0,1.0,18.0,Fruits A-F
165,Stewed or canned,1 cup,240,100.0,240,0.0,2.0,26.0,Fruits A-F
166,Apricots,1 cup,250,220.0,250,0.0,1.0,57.0,Fruits A-F
167,"Dried, uncooked",1/2 cup,75,220.0,75,0.0,1.0,50.0,Fruits A-F
168,Fresh,3 med.,114,55.0,114,0.0,70.0,14.0,Fruits A-F
169,"Nectar, or juice",1 cup,250,140.0,250,0.0,2.0,36.0,Fruits A-F
170,Avocado,1/2 large,108,185.0,108,12.0,180.0,6.0,Fruits A-F
171,Banana,1 med.,150,85.0,150,0.0,9.0,23.0,Fruits A-F
172,Blackberries,1 cup,144,85.0,144,0.0,660.0,19.0,Fruits A-F
173,Blueberries,1 cup,250,245.0,250,0.0,2.0,65.0,Fruits A-F
174,Cantaloupe,1/2 med.,380,40.0,380,0.0,220.0,9.0,Fruits A-F
175,Cherries,1 cup,257,100.0,257,0.0,2.0,26.0,Fruits A-F
176,"Fresh, raw",1 cup,114,65.0,114,0.0,8.0,15.0,Fruits A-F
177,Cranberry sauce sweetened,1 cup,277,530.0,277,0.0,12.0,142.0,Fruits A-F
178,Dates,1 cup,178,505.0,178,0.0,36.0,134.0,Fruits A-F
179,Figs,2,42,120.0,42,0.0,19.0,30.0,Fruits A-F
180,"Fresh, raw figs",3 med.,114,90.0,114,0.0,1.0,22.0,Fruits A-F
181,figs Canned with syrup ,3,115,130.0,115,0.0,1.0,32.0,Fruits A-F
182,"Fruit cocktail, canned",1 cup,256,195.0,256,0.0,5.0,50.0,Fruits A-F
183,Grapefruit sections,1 cup,250,170.0,250,0.0,5.0,44.0,Fruits G-P
185,Grapefruit juice,1 cup,250,100.0,250,0.0,1.0,24.0,Fruits G-P
186,Grapes,1 cup,153,70.0,153,0.0,8.0,16.0,Fruits G-P
187,"European, as Muscat, Tokay",1 cup,160,100.0,160,0.0,7.0,26.0,Fruits G-P
192,Olives large,10,65,72.0,65,9.0,8.0,3.0,Fruits G-P
193,OlivesRipe,10,65,105.0,65,12.0,1.0,1.0,Fruits G-P
