,Food,Serving,Calories
157,Lasagne,1 serving (215 g),284
158,Mac and Cheese,1 serving (189 g),699
159,Macaroni and Cheese,1 serving (189 g),699
160,Mashed Potatoes,1 cup (210 g),174
161,Meat Pie,1 pie (120 g),290
162,Meatloaf,1 loaf (284 g),721
163,Naan,1 bread (84 g),260
164,Orange Chicken,1 serving (162 g),420
165,Pad Thai,1 cup (250 g),375
166,Paella,1/2 package (128 g),200
167,Paratha,1 paratha (80 g),260
168,Pea Soup,1 cup (253 g),190
169,Peanut Butter Sandwich,1 sandwich (49 g),200
170,Peking Duck,1/2 duck (178 g),401
171,Philly Cheese Steak,1 sandwich (120 g),300
172,Pizza,1 slice (102 g),272
173,Pork Chop,1 chop (131 g),295
174,Potato Salad,1/3 cup (95 g),136
175,Pulled Pork Sandwich,1 sandwich (261 g),551
176,Ramen,"1 package, dry (85 g)",380
177,Ravioli,5 ravioli (66 g),134
178,Reuben Sandwich,1 sandwich (308 g),641
179,Roast Beef,1 slice (21 g),23
180,Roast Dinner,1 slice (121 g),240
181,Samosa,1 samosa (50 g),107
182,Sausage Roll,1 roll (103 g),361
183,Sausage Rolls,1 roll (34 g),101
184,Shepherds Pie,1 pie (227 g),159
185,Shrimp Cocktail,1 oz. (28 g),130
186,Sloppy Joe,1/2 cup (142 g),101
187,Sloppy Joes,1 bun (258 g),397
188,Spaghetti Bolognese,1 serving (283 g),374
189,Spring Roll,1 roll (140 g),350
190,Spring Rolls,1 roll (140 g),350
191,Taco,1 taco (98 g),213
192,Tandoori Chicken,1 serving (175 g),198
193,Yorkshire Pudding,1 pudding (15 g),83
194,Amaranth,1 cup (193 g),716
195,Barley,1 cup (157 g),556
196,Barley Groats,1 cup (31 g),31
197,Brown Rice,1 cup (195 g),757
198,Buckwheat,1 cup (170 g),583
199,Buckwheat Groats,1 cup (164 g),567
200,Corn Waffles,1 waffle (40 g),110
201,Cornmeal,1 cup (122 g),442
202,Cornstarch,1 cup (128 g),488
203,Couscous,1 cup (173 g),650
204,Cracker,1 cracker (7 g),35
205,Durum Wheat Semolina,1 tbsp (30 g),119
206,Flaxseed,1 cup (168 g),897
207,Freekeh,1 cup (160 g),832
208,Gluten,1 oz. (28 g),104
209,Grissini,1 grissini (5 g),20
210,Kamut,1 cup (186 g),627
211,Millet,1 cup (128 g),484
212,Millet Flour,1 cup (140 g),521
213,Millet Gruel,1 cup (174 g),80
214,Oat Bran,1 cup (94 g),231
215,Pearl Barley,1 cup (157 g),553
216,Polenta,1 cup (150 g),549
217,Prawn Crackers,1 cracker (3 g),16
218,Pretzel Sticks,20 sticks (12 g),46
219,Quinoa,1 cup (170 g),626
220,Rusk,1 rusk (10 g),41
221,Rye Bran,1 cup (150 g),422
222,Sago,1 oz. (28 g),99
223,Savoury Biscuits,40 grams (40 g),139
224,Shortbread,1 cookie (19 g),95
225,Spelt,1 cup (174 g),588
226,Spelt Bran,1 cup (160 g),283
227,Spelt Semolina,1 cup (167 g),601
228,Sunflower Seeds,1 cup (140 g),818
229,Tortilla,1 tortilla (197 g),467
230,Tortilla Chips,20 chips (32 g),160
231,Wheat Bran,1 cup (58 g),125
232,Wheat Germ,1 cup (113 g),432
233,Wheat Gluten,1 tsp (3 g),10
234,Wheat Semolina,1 cup (167 g),601
235,Wheat Starch,1 cup (110 g),386
236,Whole Grain Wheat,1 cup (120 g),407
237,Wholegrain Oat,1 cup (80 g),300
238,Almond Oil,1 tbsp (14 ml),123
239,Apricot Kernel Oil,1 tbsp (14 ml),124
240,Argan Oil,1 tbsp (14 ml),125
241,Avocado Oil,1 tbsp (14 ml),120
242,Babassu Oil,1 tbsp (14 ml),124
243,Canola Oil,1 tbsp (14 ml),124
244,Coconut Oil,1 tbsp (14 ml),120
245,Corn Oil,1 tbsp (15 ml),120
246,Cottonseed Oil,1 tbsp (14 ml),123
247,Flaxseed Oil,1 tbsp (14 ml),124
248,Grape Seed Oil,1 tbsp (14 ml),124
249,Hazelnut Oil,1 tbsp (14 ml),124
250,Linseed Oil,1 tbsp (14 ml),117
251,Menhaden Oil,1 tbsp (14 ml),128
252,Mustard Oil,1 tbsp (14 ml),124
253,Oat Oil,1 tbsp (14 ml),124
254,Olive Oil,1 tbsp (15 ml),120
255,Palm Kernel Oil,1 tbsp (14 ml),123
256,Palm Oil,1 tbsp (14 ml),123
257,Peanut Oil,1 tbsp (14 ml),120
258,Poppy Seed Oil,1 tbsp (14 ml),124
259,Pumpkin Seed Oil,1 tbsp (14 ml),123
260,Rice Bran Oil,1 tbsp (14 ml),124
261,Safflower Oil,1 tbsp (14 ml),120
262,Salmon Oil,1 tbsp (14 ml),128
263,Sesame Oil,1 tbsp (14 ml),124
264,Shea Oil,1 tbsp (14 ml),124
265,Soy Oil,1 tbsp (14 ml),123
266,Sunflower Oil,1 tbsp (14 ml),124
267,Tomato Seed Oil,1 tbsp (14 ml),124
268,Vegetable Oil,1 tbsp (15 ml),120
269,Walnut Oil,1 tbsp (14 ml),124
270,Wheat Germ Oil,1 tbsp (14 ml),130
271,Alphabet Soup,1 cup (248 g),62
272,Bean Stew,1 cup (252 g),335
273,Beef Bouillon,1 cup (240 g),7
274,Beef Noodle Soup,1 cup (244 g),83
275,Beef Soup,1 cup (213 g),70
276,Bouillon,1 cup (244 g),39
277,Broccoli Cheese Soup,1 can (303 g),264
278,Broccoli Soup,1 cup (237 g),206
279,Cabbage Soup,1 cup (245 g),69
280,Carrot Ginger Soup,1 serving (381 g),95
281,Carrot Soup,1 serving (381 g),95
282,Chicken Bouillon,1 cup (241 g),10
283,Chicken Broth,1 cup (244 g),39
284,Chicken Gumbo Soup,1 cup (244 g),56
285,Chicken Noodle Soup,1 cup (248 g),62
286,Chicken Stock,1 cup (244 g),39
287,Chicken Vegetable Soup,1 cup (248 g),77
288,Chicken with Rice Soup,1 cup (243 g),58
289,Cream of Asparagus Soup,1 cup (244 g),85
290,Cream of Broccoli Soup,1 serving (310 g),140
291,Cream of Celery Soup,1 cup (248 g),92
292,Cream of Chicken Soup,1 cup (244 g),117
293,Cream of Mushroom Soup,1 cup (248 g),97
294,Cream of Onion Soup,1 cup (244 g),107
295,Cream of Potato Soup,1 cup (244 g),73
296,Creamy Chicken Noodle Soup,1 cup (245 g),56
297,French Onion Soup,1 cup (243 g),56
298,Golden Mushroom Soup,1 cup (248 g),161
299,Goulash,1 serving (187 g),1887
300,Instant Ramen,1 package (85 g),371
301,Lentil Soup,1 cup (248 g),139
302,Lobster Bisque Soup,1 cup (248 g),248
303,Meatball Soup,1 cup (245 g),120
304,Minestrone,1 cup (241 g),82
305,Mushroom Soup,1 cup (244 g),85
306,Noodle Soup,1 cup (244 g),83
307,Onion Soup,1 cup (243 g),56
308,Oxtail Soup,1 cup (244 g),68
309,Pea Soup,1 cup (253 g),190
310,Potato Soup,1 serving (240 g),192
311,Pumpkin Soup,1 cup (245 g),71
312,Ramen,1 package (85 g),371
313,Scotch Broth,1 cup (241 g),80
314,Succotash,1 cup (192 g),221
315,Thai Soup,1 cup (245 g),147
316,Tomato Rice Soup,1 cup (247 g),116
317,Tomato Soup,1 cup (248 g),74
318,Vegetable Beef Soup,1 cup (244 g),76
319,Vegetable Broth,1 cup (235 g),12
320,Vegetable Soup,1 cup (241 g),67
321,Vegetable Stock,1 cup (235 g),12
322,Wedding Soup,1 cup (245 g),130
323,Baskin-Robbins,1 scoop (71 g),170
324,Ben and Jerry’s,1 scoop (92 g),210
325,Butter Pecan Ice Cream,1 scoop (113 g),280
326,Carvel,1 cup (212 g),449
327,Chocolate Chip Ice Cream,1 scoop (72 g),155
328,Chocolate Ice Cream,1 scoop (72 g),156
329,Ciao Bella,1 cup (220 g),240
330,Coffee Ice Cream,1 scoop (72 g),170
331,Cold Stone Creamery,1 scoop (142 g),329
332,Cookie Dough Ice Cream,1/2 cup (65 g),130
333,Crunchie McFlurry,1 mcflurry (183 g),318
334,Dairy Milk McFlurry,1 mcflurry (183 g),340
335,Dippin Dots,1 cup (170 g),381
336,Double Rainbow,1 scoop (72 g),185
337,Drumsticks,1 cone (141 g),360
338,French Vanilla Ice Cream,1 scoop (72 g),145
339,Friendly’s,1 scoop (66 g),140
340,Healthy Choice,1 bar (64 g),80
341,Hot Fudge Sundae,1 sundae (179 g),333
342,Ice Cream Sandwich,1 bar (112 g),265
343,Ice Cream Sundae,1 sundae (178 g),253
344,Ice Milk,1 scoop (103 g),164
345,Magnolia,1 scoop (72 g),166
346,Magnum,1 magnum (86 g),258
347,Magnum Almond,1 magnum (86 g),271
348,Magnum Double Caramel,1 magnum (86 g),305
349,Magnum Double Chocolate,1 magnum (86 g),327
350,Magnum Gold,1 magnum (85 g),290
351,Magnum White,1 magnum (86 g),255
352,McFlurry,1 mcflurry (134 g),205
353,McFlurry Oreo,1 mcflurry (183 g),340
354,Mini Milk,1 mini milk (25 g),30
355,Mint Chocolate Chip Ice Cream,1 scoop (72 g),172
356,Rocky Road Ice Cream,1 scoop (113 g),290
357,Schwan’s,1 scoop (72 g),177
358,Smarties McFlurry,1 mcflurry (202 g),400
359,Snickers Ice Cream,1 bar (50 g),180
360,Soft Serve,1 cup (86 g),191
361,Solero,1 solero (75 g),75
362,Strawberry Ice Cream,1 scoop (72 g),170
363,Strawberry Sundae,1 sundae (178 g),281
364,Sundae,1 scoop (72 g),155
365,Turkey Hill,1 sandwich (70 g),190
